Fecha,Tasas de interés - Rendimiento del Bono del gobierno peruano a 10 años (en S/)
21Ago08,7.88
22Ago08,7.89
25Ago08,7.98
26Ago08,7.95
27Ago08,7.91
28Ago08,7.94
29Ago08,7.96
01Set08,n.d.
02Set08,8.03
03Set08,7.94
04Set08,7.92
05Set08,7.94
08Set08,7.91
09Set08,7.96
10Set08,7.96
11Set08,7.96
12Set08,7.98
15Set08,8.00
16Set08,8.08
17Set08,8.42
18Set08,8.48
19Set08,8.40
22Set08,8.47
23Set08,8.38
24Set08,8.41
25Set08,8.47
26Set08,8.47
29Set08,8.53
30Set08,8.46
01Oct08,8.53
02Oct08,8.58
03Oct08,8.68
06Oct08,8.70
07Oct08,8.89
08Oct08,n.d.
09Oct08,9.08
10Oct08,9.23
13Oct08,n.d.
14Oct08,9.41
15Oct08,9.48
16Oct08,9.62
17Oct08,9.62
20Oct08,9.55
21Oct08,9.60
22Oct08,9.64
23Oct08,9.72
24Oct08,9.82
27Oct08,9.84
28Oct08,10.05
29Oct08,10.00
30Oct08,9.96
31Oct08,9.53
03Nov08,9.25
04Nov08,8.35
05Nov08,8.35
06Nov08,8.43
07Nov08,8.32
10Nov08,8.26
11Nov08,8.38
12Nov08,8.61
13Nov08,8.78
14Nov08,8.69
17Nov08,n.d.
18Nov08,8.58
19Nov08,8.60
20Nov08,n.d.
21Nov08,n.d.
24Nov08,8.47
25Nov08,8.22
26Nov08,8.12
27Nov08,8.18
28Nov08,8.17
01Dic08,8.04
02Dic08,8.11
03Dic08,7.75
04Dic08,7.77
05Dic08,7.84
08Dic08,n.d.
09Dic08,7.85
10Dic08,7.82
11Dic08,7.89
12Dic08,7.89
15Dic08,7.79
16Dic08,7.77
17Dic08,7.74
18Dic08,7.72
19Dic08,7.69
22Dic08,7.69
23Dic08,7.66
24Dic08,7.72
25Dic08,n.d.
26Dic08,n.d.
29Dic08,7.58
30Dic08,7.65
31Dic08,7.65
01Ene09,n.d.
02Ene09,n.d.
05Ene09,7.59
06Ene09,7.46
07Ene09,7.27
08Ene09,7.31
09Ene09,7.23
12Ene09,7.18
13Ene09,7.20
14Ene09,7.21
15Ene09,7.29
16Ene09,7.34
19Ene09,7.34
20Ene09,7.30
21Ene09,7.31
22Ene09,7.32
23Ene09,7.33
26Ene09,7.32
27Ene09,7.28
28Ene09,7.26
29Ene09,7.27
30Ene09,7.25
02Feb09,7.30
03Feb09,7.35
04Feb09,7.33
05Feb09,7.37
06Feb09,7.42
09Feb09,7.42
10Feb09,7.38
11Feb09,7.38
12Feb09,7.35
13Feb09,7.32
16Feb09,7.30
17Feb09,7.35
18Feb09,7.38
19Feb09,7.38
20Feb09,7.38
23Feb09,7.40
24Feb09,7.45
25Feb09,7.37
26Feb09,7.38
27Feb09,7.38
02Mar09,7.36
03Mar09,7.33
04Mar09,7.20
05Mar09,7.15
06Mar09,7.10
09Mar09,7.10
10Mar09,7.08
11Mar09,7.08
12Mar09,7.09
13Mar09,7.05
16Mar09,7.05
17Mar09,7.03
18Mar09,6.93
19Mar09,6.84
20Mar09,6.74
23Mar09,6.77
24Mar09,6.71
25Mar09,6.68
26Mar09,6.60
27Mar09,6.53
30Mar09,6.59
31Mar09,6.56
01Abr09,6.57
02Abr09,6.55
03Abr09,6.57
06Abr09,6.40
07Abr09,6.42
08Abr09,6.43
09Abr09,n.d.
10Abr09,n.d.
13Abr09,5.97
14Abr09,5.95
15Abr09,5.84
16Abr09,5.37
17Abr09,5.36
20Abr09,5.40
21Abr09,5.39
22Abr09,5.35
23Abr09,5.36
24Abr09,5.34
27Abr09,5.33
28Abr09,5.31
29Abr09,5.31
30Abr09,5.34
01May09,n.d.
04May09,5.35
05May09,5.36
06May09,5.40
07May09,5.45
08May09,5.46
11May09,5.52
12May09,5.54
13May09,6.00
14May09,5.95
15May09,5.97
18May09,5.97
19May09,5.91
20May09,5.84
21May09,5.79
22May09,5.87
25May09,5.71
26May09,5.76
27May09,5.76
28May09,5.90
29May09,5.85
01Jun09,5.89
02Jun09,5.88
03Jun09,5.88
04Jun09,5.94
05Jun09,5.89
08Jun09,5.96
09Jun09,5.99
10Jun09,6.01
11Jun09,6.02
12Jun09,6.04
15Jun09,6.04
16Jun09,6.01
17Jun09,6.02
18Jun09,5.98
19Jun09,6.02
22Jun09,6.02
23Jun09,6.01
24Jun09,6.07
25Jun09,6.10
26Jun09,6.03
29Jun09,n.d.
30Jun09,5.99
01Jul09,5.99
02Jul09,5.99
03Jul09,5.99
06Jul09,5.97
07Jul09,6.00
08Jul09,5.97
09Jul09,5.91
10Jul09,5.90
13Jul09,5.92
14Jul09,5.92
15Jul09,5.96
16Jul09,5.95
17Jul09,6.02
20Jul09,n.d.
21Jul09,6.02
22Jul09,6.04
23Jul09,6.03
24Jul09,6.00
27Jul09,n.d.
28Jul09,n.d.
29Jul09,n.d.
30Jul09,5.96
31Jul09,5.95
03Ago09,6.08
04Ago09,6.09
05Ago09,6.05
06Ago09,6.00
07Ago09,5.96
10Ago09,5.93
11Ago09,5.88
12Ago09,5.87
13Ago09,5.87
14Ago09,5.88
17Ago09,5.87
18Ago09,5.88
19Ago09,5.87
20Ago09,5.86
21Ago09,5.81
24Ago09,5.79
25Ago09,5.80
26Ago09,5.78
27Ago09,5.76
28Ago09,5.74
31Ago09,5.71
01Set09,5.67
02Set09,5.66
03Set09,5.64
04Set09,5.62
07Set09,5.63
08Set09,5.61
09Set09,5.59
10Set09,5.56
11Set09,n.d.
14Set09,5.53
15Set09,5.54
16Set09,5.54
17Set09,5.53
18Set09,5.51
21Set09,5.52
22Set09,5.55
23Set09,5.55
24Set09,5.55
25Set09,5.56
28Set09,5.58
29Set09,5.59
30Set09,5.59
01Oct09,5.57
02Oct09,5.58
05Oct09,5.57
06Oct09,5.57
07Oct09,5.57
08Oct09,n.d.
09Oct09,n.d.
12Oct09,5.57
13Oct09,5.48
14Oct09,5.46
15Oct09,5.49
16Oct09,5.49
19Oct09,5.51
20Oct09,5.52
21Oct09,5.49
22Oct09,5.51
23Oct09,5.53
26Oct09,5.54
27Oct09,5.58
28Oct09,5.63
29Oct09,5.53
30Oct09,5.57
02Nov09,5.70
03Nov09,5.70
04Nov09,5.75
05Nov09,5.77
06Nov09,5.77
09Nov09,5.81
10Nov09,5.81
11Nov09,5.81
12Nov09,5.85
13Nov09,5.88
16Nov09,5.89
17Nov09,5.89
18Nov09,5.87
19Nov09,5.85
20Nov09,5.82
23Nov09,5.79
24Nov09,5.79
25Nov09,5.77
26Nov09,5.81
27Nov09,5.79
30Nov09,5.77
01Dic09,5.79
02Dic09,5.75
03Dic09,5.72
04Dic09,5.73
07Dic09,5.73
08Dic09,n.d.
09Dic09,5.73
10Dic09,5.74
11Dic09,5.76
14Dic09,5.76
15Dic09,5.75
16Dic09,5.76
17Dic09,5.78
18Dic09,5.78
21Dic09,5.80
22Dic09,5.84
23Dic09,5.86
24Dic09,n.d.
25Dic09,n.d.
28Dic09,5.87
29Dic09,5.87
30Dic09,5.87
31Dic09,n.d.
01Ene10,n.d.
04Ene10,5.83
05Ene10,5.79
06Ene10,5.74
07Ene10,5.72
08Ene10,5.72
11Ene10,5.74
12Ene10,5.75
13Ene10,5.76
14Ene10,5.76
15Ene10,5.75
18Ene10,5.75
19Ene10,5.73
20Ene10,5.74
21Ene10,5.75
22Ene10,5.75
25Ene10,5.74
26Ene10,5.75
27Ene10,5.76
28Ene10,5.78
29Ene10,5.83
01Feb10,5.87
02Feb10,5.93
03Feb10,6.12
04Feb10,6.13
05Feb10,6.11
08Feb10,6.13
09Feb10,6.12
10Feb10,6.11
11Feb10,6.10
12Feb10,6.08
15Feb10,6.09
16Feb10,6.07
17Feb10,6.05
18Feb10,6.11
19Feb10,6.13
22Feb10,6.14
23Feb10,6.16
24Feb10,6.16
25Feb10,6.19
26Feb10,6.19
01Mar10,6.19
02Mar10,6.18
03Mar10,6.16
04Mar10,6.13
05Mar10,6.10
08Mar10,6.08
09Mar10,6.08
10Mar10,6.08
11Mar10,6.10
12Mar10,6.12
15Mar10,6.12
16Mar10,6.12
17Mar10,6.07
18Mar10,6.06
19Mar10,6.07
22Mar10,6.08
23Mar10,6.05
24Mar10,6.06
25Mar10,6.07
26Mar10,6.07
29Mar10,6.06
30Mar10,6.05
31Mar10,6.05
01Abr10,n.d.
02Abr10,n.d.
05Abr10,6.05
06Abr10,6.06
07Abr10,6.04
08Abr10,6.00
09Abr10,6.02
12Abr10,5.99
13Abr10,5.98
14Abr10,5.94
15Abr10,5.93
16Abr10,5.93
19Abr10,5.94
20Abr10,5.93
21Abr10,5.94
22Abr10,5.94
23Abr10,5.96
26Abr10,5.96
27Abr10,5.98
28Abr10,5.99
29Abr10,6.01
30Abr10,6.04
03May10,6.03
04May10,6.04
05May10,6.06
06May10,6.08
07May10,6.11
10May10,6.13
11May10,6.18
12May10,6.15
13May10,6.15
14May10,6.15
17May10,6.19
18May10,6.17
19May10,6.17
20May10,6.17
21May10,6.18
24May10,6.19
25May10,6.28
26May10,6.22
27May10,6.26
28May10,6.26
31May10,6.25
01Jun10,6.28
02Jun10,6.33
03Jun10,6.37
04Jun10,6.49
07Jun10,6.48
08Jun10,6.46
09Jun10,6.45
10Jun10,6.40
11Jun10,6.38
14Jun10,6.35
15Jun10,6.30
16Jun10,6.25
17Jun10,6.27
18Jun10,6.27
21Jun10,6.27
22Jun10,6.26
23Jun10,6.26
24Jun10,6.25
25Jun10,6.24
28Jun10,n.d.
29Jun10,n.d.
30Jun10,6.23
01Jul10,6.23
02Jul10,6.23
05Jul10,6.23
06Jul10,6.18
07Jul10,6.13
08Jul10,6.08
09Jul10,6.03
12Jul10,6.00
13Jul10,5.96
14Jul10,5.94
15Jul10,5.96
16Jul10,6.03
19Jul10,6.04
20Jul10,6.01
21Jul10,5.99
22Jul10,5.85
23Jul10,5.80
26Jul10,5.76
27Jul10,5.73
28Jul10,n.d.
29Jul10,n.d.
30Jul10,n.d.
02Ago10,5.72
03Ago10,5.73
04Ago10,5.71
05Ago10,5.64
06Ago10,5.69
09Ago10,5.63
10Ago10,5.64
11Ago10,5.65
12Ago10,5.65
13Ago10,5.65
16Ago10,5.65
17Ago10,5.61
18Ago10,5.58
19Ago10,5.55
20Ago10,5.54
23Ago10,5.53
24Ago10,5.53
25Ago10,5.53
26Ago10,5.53
27Ago10,5.60
30Ago10,n.d.
31Ago10,5.71
01Set10,5.71
02Set10,5.71
03Set10,5.72
06Set10,5.75
07Set10,5.75
08Set10,5.78
09Set10,5.78
10Set10,5.78
13Set10,5.78
14Set10,5.79
15Set10,5.80
16Set10,5.78
17Set10,5.77
20Set10,5.78
21Set10,5.74
22Set10,5.74
23Set10,5.73
24Set10,5.67
27Set10,5.69
28Set10,5.63
29Set10,5.65
30Set10,5.62
01Oct10,5.61
