fecha,coloc_sector_privado,coloc_corporativos,coloc_arrendamiento,coloc_titulizacion,saldo_corporativos,saldo_plazo_hasta_3a,saldo_plazo_3a_5a,tasa_referencia,rend_soberano_10a_pen,rend_soberano_10a_usd,embig_peru,tasa_pref_corp_90d_mn,tasa_corp_mas360_mn
2021-03-01,225.0,0.0,0.0,0.0,16663.6674792627,1547.4637500125,1959.473125,0.25,4.68608695652174,2.641,165.086956521739,0.5577,3.84142498051546
2021-04-01,108.0,108.0,0.0,0.0,16630.6909680096,1548.5592566793,1917.281229,0.25,5.09,2.70985,164.5,0.5062,3.79115747642998
2021-05-01,0.0,0.0,0.0,0.0,16524.3200576514,1473.7406566794,1919.249682,0.25,4.99,2.75547619047619,163.571428571429,0.6641,3.73745845968402
2021-06-01,0.0,0.0,0.0,0.0,16111.2416321745,1243.8242833462,1722.367036,0.25,5.27323809523809,2.66280952380952,169.227272727273,0.9206,3.70401900108905
2021-07-01,0.0,0.0,0.0,0.0,15817.6166983684,1058.9843022485,1547.62224875,0.25,5.6647,2.4939,170.0,0.7924,3.79669316287069
2021-08-01,0.0,0.0,0.0,0.0,15783.9346198533,1058.3393267096,1546.492394,0.5,6.35523809523809,2.57761904761905,183.0,0.8452,3.81270919613097
2021-09-01,0.0,0.0,0.0,0.0,15662.5151315959,898.7163756456,1531.7481545,1.0,6.34227272727273,2.60063636363636,174.0,1.2422,3.88117324129765
2021-10-01,0.0,0.0,0.0,0.0,15488.482946213,854.4737533396,1496.99723125,1.5,5.9495,2.75625,171.619047619048,1.7906,3.94905991486097
2021-11-01,0.0,0.0,0.0,0.0,15277.8056257235,808.3823870824,1396.7593625,2.0,5.86571428571429,2.85347619047619,179.363636363636,2.3431,4.02097586013207
2021-12-01,19.32199,19.32199,0.0,0.0,15016.1629380279,809.6716986988,1389.11780875,2.5,5.92563636363636,2.80695454545455,174.304347826087,2.8714,4.11394529379854
2022-01-01,0.0,0.0,0.0,0.0,14950.1020099059,806.0953710336,1384.14448,3.0,6.07457142857143,3.09204761904762,176.761904761905,3.5743,4.20262820902694
2022-02-01,157.92,0.0,0.0,0.0,14864.1525519803,745.1160924704,1381.08397,3.5,6.071,3.4629,197.75,4.1679,4.2906273925101
2022-03-01,28.86687,10.08477,18.7821,0.0,14701.0081089488,739.3392237399,1273.38468375,4.0,6.59782608695652,3.5704347826087,200.739130434783,4.553,4.39096306762848
